,Latitude,Longitude,magnitude
435,41.778775053,-87.67148511,21.0
436,41.928822325,-87.687781609,30.0
437,41.741493245,-87.707648848,64.0
438,41.796216157,-87.723245665,10.0
439,41.742710224,-87.634088181,12.0
440,41.968533072,-87.654812168,13.0
441,41.88233367,-87.627841791,17.0
442,41.851560833,-87.723927618,49.0
443,41.944870277,-87.775159162,48.0
444,41.883219895,-87.628261697,38.0
445,41.882099961,-87.625093883,60.0
446,41.754592961,-87.741528537,42.0
447,41.754592961,-87.741528537,42.0
448,41.879202837,-87.626113652,45.0
449,41.800260379,-87.735610903,46.0
450,41.896671452,-87.628594922,40.0
451,41.902972829,-87.748436512,50.0
452,41.851927575,-87.693470149,34.0
453,41.901845588,-87.715544681,45.0
454,41.853479315,-87.717797906,22.0
455,41.879886887,-87.629359567,21.0
456,41.716953836,-87.65591195,12.0
457,41.757614433,-87.586115266,16.0
458,41.886426277,-87.644267704,19.0
459,41.880279804,-87.762443285,23.0
460,41.8763156,-87.669271624,38.0
461,41.878918773,-87.665293577,37.0
